Maturity,Strike,Call,Put
0.0159,110.0,145.4,0.005
0.0159,125.0,130.325,0.005
0.0159,135.0,120.4,0.005
0.0159,145.0,110.425,0.005
0.0159,150.0,105.55,0.005
0.0159,155.0,100.425,0.005
0.0159,160.0,95.475,0.005
0.0159,165.0,90.275,0.005
0.0159,170.0,85.4,0.005
0.0159,175.0,80.4,0.025
0.0159,180.0,75.45,0.005
0.0159,185.0,70.45,0.005
0.0159,190.0,65.575,0.005
0.0159,195.0,60.425,0.005
0.0159,200.0,55.6,0.015
0.0159,205.0,50.575,0.02
0.0159,210.0,45.625,0.03
0.0159,212.5,43.1,0.095
0.0159,215.0,40.375,0.055
0.0159,217.5,37.85,0.02
0.0159,220.0,35.8,0.06
0.0159,222.5,32.975,0.025
0.0159,225.0,30.975,0.05
0.0159,227.5,28.075,0.04
0.0159,230.0,25.95,0.045
0.0159,232.5,23.0,0.055
0.0159,235.0,20.65,0.085
0.0159,237.5,18.15,0.105
0.0159,240.0,15.65,0.15
0.0159,242.5,13.45,0.23
0.0159,245.0,10.975,0.38
0.0159,247.5,8.725,0.62
0.0159,250.0,6.6,1.05
0.0159,252.5,4.775,1.695
0.0159,255.0,3.25,2.655
0.0159,257.5,2.04,3.975
0.0159,260.0,1.21,5.45
0.0159,262.5,0.685,7.6
0.0159,265.0,0.38,9.9
0.0159,267.5,0.225,12.175
0.0159,270.0,0.125,14.6
0.0159,272.5,0.075,17.1
0.0159,275.0,0.05,19.6
0.0159,277.5,0.04,22.075
0.0159,280.0,0.035,24.575
0.0159,282.5,0.02,
0.0159,285.0,0.02,29.65
0.0159,287.5,0.11,32.125
0.0159,290.0,0.015,
0.0159,292.5,0.015,
0.0159,295.0,0.01,
0.0159,300.0,0.005,
0.0159,305.0,0.005,49.6
0.0159,310.0,0.005,54.6
0.0159,315.0,0.005,59.625
0.0159,320.0,0.005,
0.0159,325.0,0.005,69.6
0.0437,110.0,145.6,
0.0437,120.0,135.625,0.18
0.0437,135.0,120.55,0.14
0.0437,140.0,115.525,0.16
0.0437,150.0,105.65,0.175
0.0437,160.0,95.65,0.01
0.0437,165.0,90.55,0.01
0.0437,170.0,85.65,0.025
0.0437,175.0,80.675,0.015
0.0437,180.0,75.675,0.015
0.0437,185.0,70.7,0.02
0.0437,190.0,65.7,0.03
0.0437,195.0,60.725,0.035
0.0437,200.0,55.925,0.08
0.0437,205.0,50.625,0.055
0.0437,210.0,45.525,0.105
0.0437,215.0,40.55,0.08
0.0437,217.5,38.35,0.09
0.0437,220.0,35.7,0.105
0.0437,222.5,33.375,0.11
0.0437,225.0,31.05,0.13
0.0437,227.5,28.4,0.155
0.0437,230.0,25.95,0.185
0.0437,232.5,23.575,0.235
0.0437,235.0,20.975,0.3
0.0437,237.5,18.75,0.4
0.0437,240.0,16.375,0.535
0.0437,242.5,14.075,0.735
0.0437,245.0,11.875,1.04
0.0437,247.5,9.8,1.46
0.0437,250.0,7.875,2.035
0.0437,252.5,6.15,2.83
0.0437,255.0,4.65,3.825
0.0437,257.5,3.4,5.05
0.0437,260.0,2.415,6.675
0.0437,262.5,1.68,8.225
0.0437,265.0,1.1,10.325
0.0437,267.5,0.74,12.5
0.0437,270.0,0.495,14.775
0.0437,272.5,0.34,17.15
0.0437,275.0,0.24,19.625
0.0437,280.0,0.135,24.6
0.0437,285.0,0.075,
0.0437,290.0,0.055,34.575
0.0437,295.0,0.065,39.6
0.0437,300.0,0.02,44.525
0.0437,305.0,0.015,
0.0437,310.0,0.115,54.6
0.0437,315.0,0.01,
0.0437,320.0,0.005,
0.0437,325.0,0.01,
0.0714,90.0,165.65,0.005
0.0714,95.0,160.65,0.13
0.0714,100.0,155.675,0.005
0.0714,105.0,150.675,0.055
0.0714,110.0,145.7,0.055
0.0714,115.0,140.575,0.04
0.0714,120.0,135.725,0.04
0.0714,125.0,130.525,0.055
0.0714,130.0,125.7,0.01
0.0714,135.0,120.675,0.055
0.0714,140.0,115.7,0.04
0.0714,145.0,110.825,0.025
0.0714,150.0,105.725,0.015
0.0714,155.0,100.875,0.015
0.0714,160.0,96.075,0.03
0.0714,165.0,90.4,0.055
0.0714,170.0,85.85,0.04
0.0714,175.0,80.875,0.065
0.0714,180.0,75.5,0.05
0.0714,185.0,70.8,0.06
0.0714,190.0,65.65,0.065
0.0714,195.0,60.925,0.085
0.0714,200.0,56.0,0.1
0.0714,205.0,50.925,0.115
0.0714,210.0,46.0,0.135
0.0714,215.0,41.45,0.17
0.0714,217.5,38.325,0.185
0.0714,220.0,36.2,0.21
0.0714,222.5,33.7,0.245
0.0714,225.0,31.3,0.285
0.0714,227.5,29.025,0.335
0.0714,230.0,26.45,0.41
0.0714,232.5,23.75,0.5
0.0714,235.0,21.625,0.625
0.0714,237.5,19.3,0.8
0.0714,240.0,17.025,1.03
0.0714,242.5,14.825,1.34
0.0714,245.0,12.75,1.765
0.0714,247.5,10.775,2.275
0.0714,250.0,8.95,2.97
0.0714,252.5,7.325,3.8
0.0714,255.0,5.825,4.8
0.0714,257.5,4.575,6.075
0.0714,260.0,3.5,7.45
0.0714,262.5,2.615,9.3
0.0714,265.0,1.93,10.975
0.0714,267.5,1.405,12.975
0.0714,270.0,1.025,15.05
0.0714,272.5,0.745,
0.0714,275.0,0.54,19.675
0.0714,280.0,0.3,24.6
0.0714,285.0,0.175,29.625
0.0714,290.0,0.105,34.65
0.0714,295.0,0.065,39.725
0.0714,300.0,0.09,44.775
0.0714,305.0,0.13,49.675
0.0714,310.0,0.025,
0.0714,315.0,0.025,59.675
0.0714,320.0,0.02,64.675
0.0714,325.0,0.01,
0.0714,330.0,0.005,74.65
0.0714,335.0,0.005,79.625
0.0714,340.0,0.01,
0.0714,345.0,0.005,
0.0714,350.0,0.005,
0.0714,355.0,0.005,141.825
0.0714,360.0,0.005,146.925
0.0714,370.0,0.005,114.75
0.0992,110.0,145.8,0.175
0.0992,120.0,135.8,
0.0992,140.0,115.85,0.07
0.0992,165.0,90.925,0.095
0.0992,170.0,85.925,0.105
0.0992,175.0,80.975,0.1
0.0992,180.0,76.025,0.07
0.0992,185.0,71.075,0.08
0.0992,190.0,65.975,0.095
0.0992,195.0,61.275,0.12
0.0992,200.0,56.125,0.13
0.0992,205.0,51.3,0.165
0.0992,210.0,46.2,0.19
0.0992,215.0,41.35,0.25
0.0992,220.0,36.5,0.33
0.0992,225.0,31.475,0.45
0.0992,230.0,26.95,0.645
0.0992,235.0,22.175,0.98
0.0992,240.0,17.7,1.52
0.0992,245.0,13.6,2.34
0.0992,250.0,9.95,3.725
0.0992,255.0,6.875,5.65
0.0992,260.0,4.5,8.275
0.0992,265.0,2.745,11.575
0.0992,270.0,1.635,15.525
0.0992,275.0,0.94,19.975
0.0992,280.0,0.535,24.675
0.0992,285.0,0.32,
0.0992,290.0,0.2,34.65
0.0992,295.0,0.125,39.625
0.0992,300.0,0.095,44.65
0.0992,305.0,0.06,
0.0992,310.0,0.155,
0.0992,315.0,0.095,
0.0992,320.0,0.09,
0.0992,325.0,0.02,69.625
0.127,140.0,116.05,0.13
0.127,155.0,101.15,0.06
0.127,170.0,86.25,0.095
0.127,180.0,76.325,0.12
0.127,185.0,71.375,0.145
0.127,190.0,66.425,0.175
0.127,195.0,61.45,0.21
0.127,200.0,56.525,0.255
0.127,205.0,51.425,0.315
0.127,210.0,46.725,0.395
0.127,215.0,41.85,0.515
0.127,220.0,37.0,0.68
0.127,225.0,32.3,0.94
0.127,230.0,27.65,1.325
0.127,235.0,23.3,1.895
0.127,240.0,19.075,2.725
0.127,245.0,15.325,3.875
0.127,250.0,11.875,5.45
0.127,255.0,8.95,7.475
0.127,260.0,6.525,9.175
0.127,265.0,4.55,13.1
0.127,270.0,3.05,16.625
0.127,275.0,2.02,20.625
0.127,280.0,1.315,25.025
0.127,285.0,0.86,29.75
0.127,290.0,0.565,34.675
0.127,295.0,0.36,39.625
0.127,300.0,0.255,44.675
0.127,305.0,0.16,
0.127,310.0,0.125,54.625
0.127,315.0,0.08,59.625
0.127,320.0,0.155,
0.127,325.0,0.04,
0.1548,120.0,136.025,
0.1548,200.0,56.75,0.34
0.1548,215.0,42.125,1.39
0.1548,220.0,37.3,0.92
0.1548,225.0,32.725,1.235
0.1548,230.0,27.825,1.675
0.1548,235.0,24.325,3.19
0.1548,240.0,19.7,3.165
0.1548,245.0,15.85,4.165
0.1548,250.0,12.325,6.6
0.1548,255.0,9.75,8.625
0.1548,260.0,7.575,11.025
0.1548,265.0,5.825,13.95
0.1548,270.0,3.7,
0.1548,275.0,1.875,
0.1548,280.0,2.08,
0.1548,285.0,1.31,
0.1548,290.0,0.55,
0.1548,295.0,0.58,
0.1548,300.0,0.39,
0.1548,305.0,0.245,
0.1548,320.0,1.105,
0.1548,325.0,1.1,
0.2103,100.0,155.95,0.015
0.2103,105.0,150.8,0.08
0.2103,110.0,145.925,0.025
0.2103,115.0,140.925,0.08
0.2103,120.0,135.975,0.04
0.2103,125.0,131.025,0.13
0.2103,130.0,126.15,0.055
0.2103,135.0,121.15,0.095
0.2103,140.0,116.125,0.07
0.2103,145.0,111.2,0.08
0.2103,150.0,106.3,0.095
0.2103,155.0,101.35,0.105
0.2103,160.0,96.4,0.13
0.2103,165.0,91.325,0.145
0.2103,170.0,86.4,0.175
0.2103,175.0,81.45,0.205
0.2103,180.0,76.575,0.245
0.2103,185.0,71.35,0.295
0.2103,190.0,66.725,0.355
0.2103,195.0,61.825,0.43
0.2103,200.0,56.75,0.53
0.2103,205.0,52.125,0.66
0.2103,210.0,47.225,0.825
0.2103,215.0,42.675,1.06
0.2103,220.0,37.975,1.38
0.2103,225.0,33.5,1.8
0.2103,230.0,29.075,2.365
0.2103,235.0,24.85,3.125
0.2103,240.0,20.875,4.125
0.2103,245.0,17.2,5.4
0.2103,250.0,13.875,7.125
0.2103,255.0,10.975,9.15
0.2103,260.0,8.45,11.675
0.2103,265.0,6.4,14.825
0.2103,270.0,4.7,18.15
0.2103,275.0,3.4,21.775
0.2103,280.0,2.43,25.8
0.2103,285.0,1.715,30.15
0.2103,290.0,1.205,34.8
0.2103,295.0,0.855,
0.2103,300.0,0.6,44.625
0.2103,305.0,0.42,49.6
0.2103,310.0,0.3,
0.2103,315.0,0.215,59.625
0.2103,320.0,0.15,
0.2103,325.0,0.11,69.625
0.2103,330.0,0.08,
0.2103,335.0,0.06,79.625
0.2103,340.0,0.045,
0.2103,345.0,0.04,89.625
0.2103,350.0,0.03,
0.3214,5.0,250.05,0.005
0.3214,10.0,245.375,0.005
0.3214,15.0,240.45,0.005
0.3214,20.0,235.45,0.005
0.3214,25.0,230.575,0.005
0.3214,30.0,225.575,0.005
0.3214,35.0,220.625,0.025
0.3214,40.0,215.675,0.05
0.3214,45.0,156.7,0.05
0.3214,50.0,205.775,0.05
0.3214,55.0,200.825,0.065
0.3214,60.0,195.775,0.065
0.3214,65.0,190.85,0.01
0.3214,70.0,185.775,0.01
0.3214,75.0,181.025,0.045
0.3214,80.0,175.975,0.015
0.3214,85.0,171.05,0.105
0.3214,90.0,166.1,0.025
0.3214,95.0,161.15,0.11
0.3214,100.0,156.075,0.03
0.3214,105.0,151.25,0.065
0.3214,110.0,146.725,0.12
0.3214,115.0,141.4,0.065
0.3214,120.0,136.625,0.095
0.3214,125.0,131.8,0.105
0.3214,130.0,126.6,0.08
0.3214,135.0,121.875,0.095
0.3214,140.0,116.85,0.105
0.3214,145.0,112.175,0.125
0.3214,150.0,106.975,0.145
0.3214,155.0,101.85,0.175
0.3214,160.0,97.025,0.21
0.3214,165.0,92.125,0.245
0.3214,170.0,86.925,0.29
0.3214,175.0,82.125,0.345
0.3214,180.0,77.45,0.415
0.3214,185.0,73.025,0.5
0.3214,190.0,67.575,0.605
0.3214,195.0,62.925,0.735
0.3214,200.0,57.8,0.905
0.3214,205.0,53.3,1.12
0.3214,210.0,48.7,1.4
0.3214,215.0,44.125,1.76
0.3214,220.0,39.65,2.22
0.3214,225.0,35.275,2.805
0.3214,230.0,31.05,3.55
0.3214,235.0,27.025,4.5
0.3214,240.0,23.2,5.675
0.3214,245.0,19.675,7.1
0.3214,250.0,16.375,8.875
0.3214,255.0,13.55,10.925
0.3214,260.0,10.9,13.35
0.3214,265.0,8.7,16.1
0.3214,270.0,6.775,19.55
0.3214,275.0,5.175,23.05
0.3214,280.0,3.95,26.7
0.3214,285.0,3.0,30.775
0.3214,290.0,2.18,35.15
0.3214,295.0,1.625,39.75
0.3214,300.0,1.195,44.625
0.3214,305.0,0.875,
0.3214,310.0,0.645,54.6
0.3214,315.0,0.475,
0.3214,320.0,0.35,64.625
0.3214,330.0,0.19,74.7
0.3214,340.0,0.11,
0.3214,350.0,0.065,94.65
0.3214,360.0,0.04,163.475
0.3214,370.0,0.03,
0.3214,380.0,0.085,
0.3214,390.0,0.015,
0.3214,400.0,0.01,144.65
0.4325,5.0,250.425,0.005
0.4325,10.0,245.5,0.005
0.4325,15.0,240.55,0.005
0.4325,20.0,235.625,0.005
0.4325,25.0,230.7,0.005
0.4325,30.0,225.75,0.055
0.4325,35.0,220.825,0.05
0.4325,40.0,215.9,0.05
0.4325,45.0,210.975,0.055
0.4325,50.0,205.8,0.03
0.4325,55.0,201.1,0.035
0.4325,60.0,196.175,0.16
0.4325,65.0,191.25,0.01
0.4325,70.0,186.3,0.01
0.4325,75.0,181.375,0.06
0.4325,80.0,176.275,0.065
0.4325,85.0,171.5,0.07
0.4325,90.0,166.575,0.125
0.4325,95.0,161.65,0.09
0.4325,100.0,156.525,0.055
0.4325,105.0,151.825,0.085
0.4325,110.0,146.9,0.095
0.4325,115.0,141.975,0.085
0.4325,120.0,136.775,0.08
0.4325,125.0,132.25,0.095
0.4325,130.0,127.05,0.115
0.4325,135.0,122.325,0.13
0.4325,140.0,117.35,0.15
0.4325,145.0,112.5,0.18
0.4325,150.0,107.225,0.215
0.4325,155.0,103.075,0.25
0.4325,160.0,97.55,0.295
0.4325,165.0,92.675,0.35
0.4325,170.0,87.825,0.415
0.4325,175.0,83.35,0.5
0.4325,180.0,78.35,0.595
0.4325,185.0,73.575,0.725
0.4325,190.0,68.675,0.875
0.4325,195.0,63.825,1.06
0.4325,200.0,59.325,1.295
0.4325,205.0,54.7,1.585
0.4325,210.0,50.125,1.965
0.4325,215.0,45.65,2.425
0.4325,220.0,41.25,3.005
0.4325,225.0,37.0,3.675
0.4325,230.0,32.925,4.55
0.4325,235.0,28.975,5.6
0.4325,240.0,25.3,6.875
0.4325,245.0,21.85,8.35
0.4325,250.0,18.6,10.125
0.4325,255.0,15.65,12.2
0.4325,260.0,13.025,14.6
0.4325,265.0,10.7,17.35
0.4325,270.0,8.675,20.475
0.4325,275.0,6.95,23.75
0.4325,280.0,5.5,27.425
0.4325,285.0,4.3,31.225
0.4325,290.0,3.35,35.5
0.4325,295.0,2.605,40.075
0.4325,300.0,1.985,44.725
0.4325,305.0,1.51,49.65
0.4325,310.0,1.155,54.7
0.4325,315.0,0.875,59.625
0.4325,320.0,0.68,64.625
0.4325,330.0,0.39,74.625
0.4325,340.0,0.235,84.625
0.4325,350.0,0.145,94.625
0.4325,360.0,0.085,104.625
0.4325,370.0,0.105,114.625
0.4325,380.0,0.04,
0.4325,390.0,0.025,134.625
0.5714,100.0,157.05,0.075
0.5714,105.0,152.125,0.09
0.5714,110.0,147.225,0.11
0.5714,120.0,137.45,0.155
0.5714,125.0,132.55,0.18
0.5714,130.0,127.65,0.205
0.5714,135.0,122.75,0.245
0.5714,140.0,117.875,0.285
0.5714,145.0,113.0,0.33
0.5714,150.0,108.075,0.395
0.5714,155.0,103.2,0.475
0.5714,160.0,98.375,0.56
0.5714,165.0,93.425,0.65
0.5714,170.0,89.075,0.785
0.5714,175.0,84.025,0.93
0.5714,180.0,79.2,1.105
0.5714,185.0,74.375,1.31
0.5714,190.0,69.95,1.56
0.5714,195.0,65.2,1.84
0.5714,200.0,60.775,2.215
0.5714,205.0,56.225,2.645
0.5714,210.0,52.0,3.15
0.5714,215.0,47.55,3.75
0.5714,220.0,43.375,4.5
0.5714,225.0,39.35,5.35
0.5714,230.0,35.4,6.4
0.5714,235.0,31.65,7.525
0.5714,240.0,28.125,8.925
0.5714,245.0,24.7,10.575
0.5714,250.0,21.55,12.325
0.5714,255.0,18.65,14.5
0.5714,260.0,15.975,16.775
0.5714,265.0,13.575,19.375
0.5714,270.0,11.425,22.3
0.5714,275.0,9.525,25.7
0.5714,280.0,7.925,28.925
0.5714,285.0,6.55,32.55
0.5714,290.0,5.275,36.675
0.5714,295.0,4.3,40.9
0.5714,300.0,3.475,45.275
0.5714,310.0,2.26,54.65
0.5714,320.0,1.46,
0.5714,330.0,0.95,
0.5714,340.0,0.625,
0.5714,350.0,0.41,
0.5714,360.0,0.28,
0.5714,370.0,0.185,
0.5714,380.0,0.125,
0.5714,390.0,0.085,
0.5714,400.0,0.065,
0.6825,90.0,167.05,0.065
0.6825,95.0,162.35,0.085
0.6825,100.0,157.3,0.105
0.6825,105.0,152.425,0.125
0.6825,110.0,147.55,0.145
0.6825,115.0,142.675,0.175
0.6825,120.0,137.8,0.215
0.6825,125.0,132.775,0.245
0.6825,130.0,127.725,0.295
0.6825,135.0,122.85,0.345
0.6825,140.0,118.4,0.405
0.6825,145.0,113.225,0.47
0.6825,150.0,108.75,0.555
0.6825,155.0,103.75,0.65
0.6825,160.0,99.85,0.77
0.6825,165.0,94.2,0.905
0.6825,170.0,90.2,1.06
0.6825,175.0,85.3,1.255
0.6825,180.0,80.0,1.475
0.6825,185.0,75.6,1.735
0.6825,190.0,71.05,2.045
0.6825,195.0,66.45,2.41
0.6825,200.0,62.125,2.84
0.6825,210.0,53.325,3.95
0.6825,220.0,45.025,5.4
0.6825,230.0,37.175,7.45
0.6825,240.0,30.025,10.175
0.6825,250.0,23.55,13.625
0.6825,260.0,17.975,18.025
0.6825,270.0,13.3,23.375
0.6825,280.0,9.55,29.725
0.6825,290.0,6.725,37.2
0.6825,300.0,4.65,45.425
0.6825,310.0,3.175,54.725
0.6825,320.0,2.175,106.2
0.6825,330.0,1.475,
0.6825,340.0,1.01,
